"MODEL_NAME","CREDITS_PER_1M_TOKENS","RATE_SOURCE","UPDATED_AT"
"mistral-large2",1.95,"Snowflake Service Consumption Table - Cortex LLM Functions, credits per 1M tokens. Verify against the current published table before quoting externally.","2026-08-02 01:00:09.193"
"llama3-8b",0.19,"Snowflake Service Consumption Table - Cortex LLM Functions, credits per 1M tokens. Verify against the current published table before quoting externally.","2026-08-02 01:00:09.193"
"claude-sonnet-4-5",2.55,"Snowflake Service Consumption Table - Cortex LLM Functions, credits per 1M tokens. Verify against the current published table before quoting externally.","2026-08-02 01:00:09.193"
